2026-05-04 14:36:46 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (svm_rbf, classification): auc_roc=0.6482, pr_auc=0.7542, f1=0.6763
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (svm_rbf, classification): auc_roc=0.6087, pr_auc=0.7228, f1=0.6306
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (svm_rbf, classification): auc_roc=0.5724, pr_auc=0.6863, f1=0.5982
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.5712, pr_auc=0.6644, f1=0.6084
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.6042, pr_auc=0.7045, f1=0.6177
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.5581, pr_auc=0.6538, f1=0.6108
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.5986, pr_auc=0.7114, f1=0.6310
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6371, pr_auc=0.7495, f1=0.6549
2026-05-04 14:36:47 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5457, pr_auc=0.6835, f1=0.5948
2026-05-04 14:36:49 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.5934, f1=0.6219, pr_auc=0.7001 inner_best_params={'model__C': 10, 'model__gamma': 0.003}
2026-05-04 14:36:49 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_svm_rbf dir=runs/phase_4_v2/20260504_1436_standalone_positive_union_svm_rbf
