2026-05-04 14:53:08 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (xgboost, classification): auc_roc=0.6579, pr_auc=0.7266, log_loss=0.6402, f1=0.7104
2026-05-04 14:53:10 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (xgboost, classification): auc_roc=0.6289, pr_auc=0.7404, log_loss=0.6588, f1=0.6968
2026-05-04 14:53:11 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (xgboost, classification): auc_roc=0.5587, pr_auc=0.7162, log_loss=0.7258, f1=0.6387
2026-05-04 14:53:13 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (xgboost, classification): auc_roc=0.6139, pr_auc=0.7361, log_loss=0.6625, f1=0.7172
2026-05-04 14:53:15 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (xgboost, classification): auc_roc=0.6252, pr_auc=0.6865, log_loss=0.6668, f1=0.7358
2026-05-04 14:53:16 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (xgboost, classification): auc_roc=0.5789, pr_auc=0.6842, log_loss=0.7132, f1=0.6917
2026-05-04 14:53:18 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (xgboost, classification): auc_roc=0.5950, pr_auc=0.7113, log_loss=0.6908, f1=0.6611
2026-05-04 14:53:19 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (xgboost, classification): auc_roc=0.6536, pr_auc=0.7303, log_loss=0.6472, f1=0.7258
2026-05-04 14:53:21 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.5681, pr_auc=0.6742, log_loss=0.7228, f1=0.6810
2026-05-04 14:53:22 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.5794, pr_auc=0.6813, log_loss=0.6914, f1=0.7082
2026-05-04 14:53:24 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.6067, pr_auc=0.7279, log_loss=0.6738, f1=0.6757
2026-05-04 14:53:25 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5740, pr_auc=0.7183, log_loss=0.7107, f1=0.6856
2026-05-04 14:53:29 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=xgboost target=roi_gt_2 OOF=auc_roc=0.6131, f1=0.7027, log_loss=0.6655, pr_auc=0.7150 inner_best_params={'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 14:53:29 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_mpnet_xgboost dir=runs/phase_4_v2/20260504_1449_all_five_mpnet_xgboost
