2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.5985, pr_auc=0.8473, log_loss=0.6691, f1=0.6954
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5285, pr_auc=0.8154, log_loss=0.6964, f1=0.6166
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.5333, pr_auc=0.8170, log_loss=0.6834, f1=0.6513
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.5754, pr_auc=0.8536, log_loss=0.6761, f1=0.6784
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.5684, pr_auc=0.8367, log_loss=0.6802, f1=0.6735
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.6627, pr_auc=0.8807, log_loss=0.6715, f1=0.6911
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.5615, pr_auc=0.8375, log_loss=0.6736, f1=0.6717
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5690, pr_auc=0.8412, log_loss=0.6826, f1=0.6472
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5709, pr_auc=0.8458, log_loss=0.6800, f1=0.6768
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6208, pr_auc=0.8643, log_loss=0.6634, f1=0.7079
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.5831, pr_auc=0.8445, log_loss=0.6727, f1=0.7032
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5552, pr_auc=0.8271, log_loss=0.6797, f1=0.6667
2026-05-04 14:17:34 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear target=roi_gt_1 OOF=auc_roc=0.5803, f1=0.6833, log_loss=0.6762, pr_auc=0.8429 inner_best_params={'model__C': np.float64(0.001)}
2026-05-04 14:17:34 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear target=roi_gt_2 task=classification
2026-05-04 14:17:34 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1460, 127)
2026-05-04 14:17:34 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5789 params={'model__C': np.float64(0.0031622776601683794)}
2026-05-04 14:17:34 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 14:17:34 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5537, pr_auc=0.6984, log_loss=0.6899, f1=0.5419
2026-05-04 14:17:34 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5924, pr_auc=0.6870, log_loss=0.6885, f1=0.6176
2026-05-04 14:17:34 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.5266, pr_auc=0.6778, log_loss=0.6913, f1=0.5706
2026-05-04 14:17:34 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6437, pr_auc=0.7392, log_loss=0.6644, f1=0.6627
2026-05-04 14:17:34 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5783, pr_auc=0.6854, log_loss=0.6840, f1=0.5570
2026-05-04 14:17:34 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.5298, pr_auc=0.6805, log_loss=0.6958, f1=0.5714
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.6342, pr_auc=0.7399, log_loss=0.6691, f1=0.6101
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.5937, pr_auc=0.7022, log_loss=0.6767, f1=0.5957
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.5466, pr_auc=0.6700, log_loss=0.6948, f1=0.5671
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.5636, pr_auc=0.6671, log_loss=0.6895, f1=0.6071
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5904, pr_auc=0.7088, log_loss=0.6797, f1=0.5857
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5844, pr_auc=0.7052, log_loss=0.6811, f1=0.5938
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6056, pr_auc=0.7169, log_loss=0.6766, f1=0.5956
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.6111, pr_auc=0.7086, log_loss=0.6738, f1=0.6277
2026-05-04 14:17:35 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5188, pr_auc=0.6525, log_loss=0.7038, f1=0.6097
2026-05-04 14:17:37 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear target=roi_gt_2 OOF=auc_roc=0.5779, f1=0.5903, log_loss=0.6826, pr_auc=0.6913 inner_best_params={'model__C': np.float64(0.0031622776601683794)}
2026-05-04 14:17:37 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_linear dir=runs/phase_4_v2/20260504_1417_all_five_linear
