2026-05-04 02:40:12 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.5728, pr_auc=0.8405, log_loss=0.8852, f1=0.6911
2026-05-04 02:40:12 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.5255, pr_auc=0.8338, log_loss=0.8214, f1=0.6845
2026-05-04 02:40:12 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.6559, pr_auc=0.8931, log_loss=0.6663, f1=0.7219
2026-05-04 02:40:14 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=linear target=roi_gt_1 OOF=auc_roc=0.6132, f1=0.7281, log_loss=0.7227, pr_auc=0.8579 inner_best_params={'model__C': np.float64(1000.0)}
2026-05-04 02:40:14 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=linear target=roi_gt_2 task=classification
2026-05-04 02:40:14 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 92)
2026-05-04 02:40:14 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.6273 params={'model__C': np.float64(0.03162277660168379)}
2026-05-04 02:40:14 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 02:40:14 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.6357, pr_auc=0.7378, log_loss=0.6611, f1=0.6942
2026-05-04 02:40:14 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5964, pr_auc=0.7128, log_loss=0.6872, f1=0.6620
2026-05-04 02:40:14 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.6732, pr_auc=0.8076, log_loss=0.6466, f1=0.6498
2026-05-04 02:40:14 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6302, pr_auc=0.7384, log_loss=0.6812, f1=0.6308
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.6011, pr_auc=0.7341, log_loss=0.7010, f1=0.6597
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.6459, pr_auc=0.7727, log_loss=0.6686, f1=0.6738
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.6683, pr_auc=0.7630, log_loss=0.6544, f1=0.6473
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.6181, pr_auc=0.7352, log_loss=0.6752, f1=0.6481
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.6172, pr_auc=0.7548, log_loss=0.6732, f1=0.6918
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.6051, pr_auc=0.7534, log_loss=0.6856, f1=0.6187
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5996, pr_auc=0.7253, log_loss=0.7033, f1=0.6377
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.6017, pr_auc=0.7140, log_loss=0.6903, f1=0.6364
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6231, pr_auc=0.7581, log_loss=0.6613, f1=0.6224
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.6668, pr_auc=0.7729, log_loss=0.6403, f1=0.6596
2026-05-04 02:40:15 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5509, pr_auc=0.7013, log_loss=0.7208, f1=0.6294
2026-05-04 02:40:17 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=linear target=roi_gt_2 OOF=auc_roc=0.6255, f1=0.6473, log_loss=0.6724, pr_auc=0.7439 inner_best_params={'model__C': np.float64(0.03162277660168379)}
2026-05-04 02:40:17 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_mpnet_linear dir=runs/phase_4/20260504_0240_standalone_positive_union_mpnet_linear
