2026-05-04 02:16:59 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.5885, pr_auc=0.8573, f1=0.7414
2026-05-04 02:16:59 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.5408, pr_auc=0.8327, f1=0.7514
2026-05-04 02:16:59 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.6142, pr_auc=0.8778, f1=0.7744
2026-05-04 02:16:59 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.5798, pr_auc=0.8446, f1=0.7390
2026-05-04 02:16:59 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.5011, pr_auc=0.8226, f1=0.7236
2026-05-04 02:16:59 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.6345, pr_auc=0.8931, f1=0.7478
2026-05-04 02:17:01 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.5866, f1=0.7469, pr_auc=0.8542 inner_best_params={'model__C': 30, 'model__gamma': 0.001}
2026-05-04 02:17:01 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=svm_rbf target=roi_gt_2 task=classification
2026-05-04 02:17:01 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 127)
2026-05-04 02:17:03 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.6207 params={'model__C': 3, 'model__gamma': 0.003}
2026-05-04 02:17:03 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (svm_rbf, classification): auc_roc=0.6127, pr_auc=0.7183, f1=0.6871
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (svm_rbf, classification): auc_roc=0.5904, pr_auc=0.7120, f1=0.6644
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (svm_rbf, classification): auc_roc=0.6598, pr_auc=0.7896, f1=0.6713
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (svm_rbf, classification): auc_roc=0.6476, pr_auc=0.7497, f1=0.6873
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (svm_rbf, classification): auc_roc=0.5930, pr_auc=0.7049, f1=0.6735
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (svm_rbf, classification): auc_roc=0.6071, pr_auc=0.7414, f1=0.6438
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (svm_rbf, classification): auc_roc=0.6545, pr_auc=0.7720, f1=0.6784
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (svm_rbf, classification): auc_roc=0.6187, pr_auc=0.7477, f1=0.6549
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (svm_rbf, classification): auc_roc=0.5749, pr_auc=0.6877, f1=0.6711
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.6295, pr_auc=0.7544, f1=0.6547
2026-05-04 02:17:03 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.5957, pr_auc=0.7116, f1=0.6573
2026-05-04 02:17:04 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.5664, pr_auc=0.6964, f1=0.6467
2026-05-04 02:17:04 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.6212, pr_auc=0.7583, f1=0.6426
2026-05-04 02:17:04 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6435, pr_auc=0.7495, f1=0.7162
2026-05-04 02:17:04 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5750, pr_auc=0.7114, f1=0.6622
2026-05-04 02:17:05 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.6200, f1=0.6749, pr_auc=0.7343 inner_best_params={'model__C': 3, 'model__gamma': 0.003}
2026-05-04 02:17:05 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_svm_rbf dir=runs/phase_4/20260504_0216_all_five_svm_rbf
