2026-05-03 23:46:31 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=all_five_svm_rbf dir=runs/phase_4/20260503_2346_all_five_svm_rbf
2026-05-03 23:46:31 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=svm_rbf target=log_roi task=regression
2026-05-03 23:46:31 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=regression X.shape=(1199, 127)
2026-05-03 23:46:33 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=regression score=-1.3401 params={'model__C': 1, 'model__gamma': 0.003}
2026-05-03 23:46:33 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=regression
2026-05-03 23:46:34 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=svm_rbf target=log_roi OOF=cvrmse=0.9965, mae=0.9403, mse=1.8028, rmse=1.3427 inner_best_params={'model__C': 1, 'model__gamma': 0.003}
2026-05-03 23:46:34 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=svm_rbf target=roi_gt_1 task=classification
2026-05-03 23:46:34 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 127)
2026-05-03 23:46:36 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.5930 params={'model__C': 30, 'model__gamma': 0.001}
2026-05-03 23:46:36 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-03 23:46:39 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.5866, f1=0.7469, pr_auc=0.8542 inner_best_params={'model__C': 30, 'model__gamma': 0.001}
2026-05-03 23:46:39 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=svm_rbf target=roi_gt_2 task=classification
2026-05-03 23:46:39 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 127)
2026-05-03 23:46:41 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.6207 params={'model__C': 3, 'model__gamma': 0.003}
2026-05-03 23:46:41 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-03 23:46:43 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.6200, f1=0.6749, pr_auc=0.7343 inner_best_params={'model__C': 3, 'model__gamma': 0.003}
2026-05-03 23:46:43 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_svm_rbf dir=runs/phase_4/20260503_2346_all_five_svm_rbf
2026-05-03 23:46:43 | INFO    | src.models.phase4.benchmark | Cell start: matrix=standalone_positive_union family=linear X=(1199, 92)
2026-05-03 23:46:43 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=standalone_positive_union_linear dir=runs/phase_4/20260503_2346_standalone_positive_union_linear
