2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear_svm, classification): auc_roc=0.5452, pr_auc=0.8391, f1=0.6848
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear_svm, classification): auc_roc=0.5667, pr_auc=0.8525, f1=0.7380
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear_svm, classification): auc_roc=0.6330, pr_auc=0.8649, f1=0.7331
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear_svm, classification): auc_roc=0.5512, pr_auc=0.8198, f1=0.7048
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear_svm, classification): auc_roc=0.5477, pr_auc=0.8586, f1=0.6747
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear_svm, classification): auc_roc=0.6187, pr_auc=0.8667, f1=0.7486
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear_svm, classification): auc_roc=0.5956, pr_auc=0.8659, f1=0.7235
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear_svm, classification): auc_roc=0.5255, pr_auc=0.8153, f1=0.7168
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear_svm, classification): auc_roc=0.5258, pr_auc=0.8384, f1=0.6807
2026-05-03 23:58:02 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear_svm, classification): auc_roc=0.6084, pr_auc=0.8429, f1=0.7692
2026-05-03 23:58:03 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear_svm, classification): auc_roc=0.5421, pr_auc=0.8370, f1=0.7293
2026-05-03 23:58:03 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear_svm, classification): auc_roc=0.6187, pr_auc=0.8793, f1=0.7614
2026-05-03 23:58:03 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear_svm, classification): auc_roc=0.5513, pr_auc=0.8378, f1=0.6748
2026-05-03 23:58:03 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear_svm, classification): auc_roc=0.5000, pr_auc=0.8183, f1=0.6667
2026-05-03 23:58:03 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear_svm, classification): auc_roc=0.6585, pr_auc=0.8924, f1=0.7365
2026-05-03 23:58:04 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear_svm target=roi_gt_1 OOF=auc_roc=0.5791, f1=0.7254, pr_auc=0.8455 inner_best_params={'model__C': 1}
2026-05-03 23:58:04 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear_svm target=roi_gt_2 task=classification
2026-05-03 23:58:04 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear_svm task=classification X.shape=(1199, 127)
2026-05-03 23:58:04 | INFO    | src.models.phase4.cv | Inner CV best: family=linear_svm task=classification score=0.6061 params={'model__C': 0.01}
2026-05-03 23:58:04 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear_svm task=classification
2026-05-03 23:58:04 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear_svm, classification): auc_roc=0.6010, pr_auc=0.7240, f1=0.6735
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear_svm, classification): auc_roc=0.5629, pr_auc=0.6975, f1=0.6224
