2026-05-04 02:36:57 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, classification): auc_roc=0.6332, pr_auc=0.7512, log_loss=0.7603, f1=0.7183
2026-05-04 02:36:58 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, classification): auc_roc=0.6001, pr_auc=0.7399, log_loss=0.7838, f1=0.7186
2026-05-04 02:36:59 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, classification): auc_roc=0.6390, pr_auc=0.7458, log_loss=0.6962, f1=0.7568
2026-05-04 02:36:59 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, classification): auc_roc=0.6059, pr_auc=0.7403, log_loss=0.7950, f1=0.7212
2026-05-04 02:37:00 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, classification): auc_roc=0.5748, pr_auc=0.7381, log_loss=0.7883, f1=0.7066
2026-05-04 02:37:01 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, classification): auc_roc=0.6378, pr_auc=0.7559, log_loss=0.7091, f1=0.7115
2026-05-04 02:37:02 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, classification): auc_roc=0.6107, pr_auc=0.7268, log_loss=0.7925, f1=0.7341
2026-05-04 02:37:02 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5910, pr_auc=0.7391, log_loss=0.7863, f1=0.6888
2026-05-04 02:37:03 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.5769, pr_auc=0.7305, log_loss=0.8002, f1=0.7122
2026-05-04 02:37:04 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.6418, pr_auc=0.7759, log_loss=0.7039, f1=0.7372
2026-05-04 02:37:04 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.5735, pr_auc=0.7088, log_loss=0.8280, f1=0.7095
2026-05-04 02:37:07 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=lightgbm target=roi_gt_2 OOF=auc_roc=0.6223, f1=0.7354, log_loss=0.7063, pr_auc=0.7431 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__min_child_samples': 30, 'model__num_leaves': 31}
2026-05-04 02:37:07 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_mpnet_lightgbm dir=runs/phase_4/20260504_0235_all_five_mpnet_lightgbm
