2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.5338, pr_auc=0.8272, log_loss=0.8497, f1=0.6392
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.5054, pr_auc=0.8159, log_loss=0.8374, f1=0.6747
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.6521, pr_auc=0.8847, log_loss=0.6733, f1=0.7343
2026-05-03 23:46:47 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=roi_gt_1 OOF=auc_roc=0.5930, f1=0.7086, log_loss=0.7015, pr_auc=0.8530 inner_best_params={'model__C': np.float64(316.22776601683796)}
2026-05-03 23:46:47 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=roi_gt_2 task=classification
2026-05-03 23:46:47 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 92)
2026-05-03 23:46:47 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.6166 params={'model__C': np.float64(0.0031622776601683794)}
2026-05-03 23:46:47 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.6339, pr_auc=0.7475, log_loss=0.6646, f1=0.6714
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5913, pr_auc=0.7276, log_loss=0.6754, f1=0.6551
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.6461, pr_auc=0.7722, log_loss=0.6630, f1=0.6593
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6294, pr_auc=0.7366, log_loss=0.6722, f1=0.6324
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5824, pr_auc=0.7292, log_loss=0.6840, f1=0.6386
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.6042, pr_auc=0.7451, log_loss=0.6741, f1=0.6431
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.6533, pr_auc=0.7616, log_loss=0.6635, f1=0.6593
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.6336, pr_auc=0.7538, log_loss=0.6616, f1=0.6481
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.5756, pr_auc=0.7125, log_loss=0.6781, f1=0.6411
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.6024, pr_auc=0.7530, log_loss=0.6777, f1=0.6338
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5888, pr_auc=0.7371, log_loss=0.6810, f1=0.6300
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5809, pr_auc=0.7289, log_loss=0.6805, f1=0.6268
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6245, pr_auc=0.7462, log_loss=0.6682, f1=0.6386
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.6882, pr_auc=0.7770, log_loss=0.6530, f1=0.7018
2026-05-03 23:46:47 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5424, pr_auc=0.7008, log_loss=0.6867, f1=0.6154
2026-05-03 23:46:49 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=roi_gt_2 OOF=auc_roc=0.6140, f1=0.6467, log_loss=0.6715, pr_auc=0.7398 inner_best_params={'model__C': np.float64(0.0031622776601683794)}
2026-05-03 23:46:49 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_linear dir=runs/phase_4/20260503_2346_standalone_positive_union_linear
