2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5889, pr_auc=0.8448, log_loss=0.6744, f1=0.6821
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.6090, pr_auc=0.8596, log_loss=0.6802, f1=0.6787
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6065, pr_auc=0.8466, log_loss=0.6682, f1=0.7264
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5435, pr_auc=0.8188, log_loss=0.6935, f1=0.6162
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.5450, pr_auc=0.8202, log_loss=0.6805, f1=0.6667
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.5714, pr_auc=0.8454, log_loss=0.6787, f1=0.6833
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.5816, pr_auc=0.8465, log_loss=0.6819, f1=0.6869
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.6581, pr_auc=0.8857, log_loss=0.6766, f1=0.6720
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.5792, pr_auc=0.8391, log_loss=0.6743, f1=0.7139
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5765, pr_auc=0.8414, log_loss=0.6846, f1=0.6253
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5853, pr_auc=0.8454, log_loss=0.6799, f1=0.6851
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6312, pr_auc=0.8632, log_loss=0.6693, f1=0.7178
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.5940, pr_auc=0.8462, log_loss=0.6723, f1=0.7228
2026-05-04 14:30:36 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5460, pr_auc=0.8278, log_loss=0.6814, f1=0.6599
2026-05-04 14:30:37 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=roi_gt_1 OOF=auc_roc=0.5878, f1=0.6893, log_loss=0.6778, pr_auc=0.8435 inner_best_params={'model__C': np.float64(0.001)}
2026-05-04 14:30:37 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=roi_gt_2 task=classification
2026-05-04 14:30:37 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1460, 92)
2026-05-04 14:30:38 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5842 params={'model__C': np.float64(0.001)}
2026-05-04 14:30:38 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5937, pr_auc=0.7166, log_loss=0.6819, f1=0.5613
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5812, pr_auc=0.6875, log_loss=0.6841, f1=0.6042
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.5199, pr_auc=0.6624, log_loss=0.6898, f1=0.5843
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6546, pr_auc=0.7569, log_loss=0.6725, f1=0.6446
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5715, pr_auc=0.6759, log_loss=0.6853, f1=0.5669
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.5104, pr_auc=0.6708, log_loss=0.6923, f1=0.5498
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.6486, pr_auc=0.7619, log_loss=0.6733, f1=0.5924
