2026-05-04 14:27:16 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, classification): auc_roc=0.5200, pr_auc=0.6666, log_loss=0.7048, f1=0.6391
2026-05-04 14:27:16 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, classification): auc_roc=0.6495, pr_auc=0.7103, log_loss=0.6504, f1=0.6804
2026-05-04 14:27:17 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, classification): auc_roc=0.6179, pr_auc=0.7052, log_loss=0.6659, f1=0.6839
2026-05-04 14:27:18 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, classification): auc_roc=0.5614, pr_auc=0.6857, log_loss=0.7001, f1=0.6420
2026-05-04 14:27:19 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, classification): auc_roc=0.6272, pr_auc=0.7530, log_loss=0.6449, f1=0.6968
2026-05-04 14:27:20 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, classification): auc_roc=0.6281, pr_auc=0.6989, log_loss=0.6489, f1=0.7230
2026-05-04 14:27:20 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, classification): auc_roc=0.5528, pr_auc=0.6677, log_loss=0.6975, f1=0.6366
2026-05-04 14:27:21 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, classification): auc_roc=0.5540, pr_auc=0.6773, log_loss=0.6909, f1=0.6162
2026-05-04 14:27:22 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, classification): auc_roc=0.6435, pr_auc=0.7364, log_loss=0.6487, f1=0.6986
2026-05-04 14:27:23 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5777, pr_auc=0.6769, log_loss=0.6876, f1=0.6518
2026-05-04 14:27:24 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.6244, pr_auc=0.7309, log_loss=0.6513, f1=0.7008
2026-05-04 14:27:24 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.6013, pr_auc=0.7180, log_loss=0.6635, f1=0.6667
2026-05-04 14:27:25 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.5473, pr_auc=0.6680, log_loss=0.6992, f1=0.6503
2026-05-04 14:27:28 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=lightgbm target=roi_gt_2 OOF=auc_roc=0.6041, f1=0.6759, log_loss=0.6639, pr_auc=0.7042 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_samples': 30, 'model__num_leaves': 31}
2026-05-04 14:27:28 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_lightgbm dir=runs/phase_4_v2/20260504_1426_all_five_lightgbm
