2026-05-04 14:40:20 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.5353, pr_auc=0.6786, log_loss=0.6949, f1=0.5437
2026-05-04 14:40:20 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.6516, pr_auc=0.7608, log_loss=0.6557, f1=0.6565
2026-05-04 14:40:20 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.5983, pr_auc=0.7187, log_loss=0.6710, f1=0.6079
2026-05-04 14:40:21 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5392, pr_auc=0.6611, log_loss=0.6902, f1=0.6059
2026-05-04 14:40:21 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.5953, pr_auc=0.7210, log_loss=0.6710, f1=0.6181
2026-05-04 14:40:21 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.6611, pr_auc=0.7382, log_loss=0.6519, f1=0.6971
2026-05-04 14:40:21 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.5803, pr_auc=0.6844, log_loss=0.6754, f1=0.6239
2026-05-04 14:40:21 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.6244, pr_auc=0.7499, log_loss=0.6722, f1=0.5893
2026-05-04 14:40:21 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6098, pr_auc=0.7246, log_loss=0.6769, f1=0.5619
2026-05-04 14:40:22 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5660, pr_auc=0.6954, log_loss=0.6808, f1=0.6185
2026-05-04 14:40:24 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=histgb target=roi_gt_2 OOF=auc_roc=0.6031, f1=0.6027, log_loss=0.6721, pr_auc=0.7072 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 14:40:24 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_mpnet_histgb dir=runs/phase_4_v2/20260504_1439_all_five_mpnet_histgb
