matrix,target,task,metric,stack_value,best_base_value,n_train,meta_coefs,meta_intercept
standalone_positive_union,roi_gt_1,classification,auc_roc,0.6039931571602215,0.6159231080898573,1199,"{'linear': 0.3940332372349359, 'histgb': 1.6123602562795125, 'random_forest': 3.4235727846805353, 'svm_rbf': 0.8219455423887955, 'lightgbm': -0.1941671994673658, 'xgboost': -0.1648274890454129}",-2.575549132118818
standalone_positive_union,roi_gt_1,classification,pr_auc,0.8556515038182753,0.8660963047768252,1199,"{'linear': 0.3940332372349359, 'histgb': 1.6123602562795125, 'random_forest': 3.4235727846805353, 'svm_rbf': 0.8219455423887955, 'lightgbm': -0.1941671994673658, 'xgboost': -0.1648274890454129}",-2.575549132118818
standalone_positive_union,roi_gt_1,classification,f1,0.8933025404157043,0.8937153419593346,1199,"{'linear': 0.3940332372349359, 'histgb': 1.6123602562795125, 'random_forest': 3.4235727846805353, 'svm_rbf': 0.8219455423887955, 'lightgbm': -0.1941671994673658, 'xgboost': -0.1648274890454129}",-2.575549132118818
standalone_positive_union,roi_gt_1,classification,log_loss,0.47987016255592124,0.4755873830066808,1199,"{'linear': 0.3940332372349359, 'histgb': 1.6123602562795125, 'random_forest': 3.4235727846805353, 'svm_rbf': 0.8219455423887955, 'lightgbm': -0.1941671994673658, 'xgboost': -0.1648274890454129}",-2.575549132118818
standalone_positive_union,roi_gt_2,classification,auc_roc,0.6317039063687491,0.6345614835081319,1199,"{'linear': -1.1726905616626582, 'histgb': 0.695820618214123, 'random_forest': 2.9907797233579134, 'svm_rbf': 2.1276753122995165, 'lightgbm': 0.44452854060072655, 'xgboost': -0.4805326830193778}",-1.8507812395595056
standalone_positive_union,roi_gt_2,classification,pr_auc,0.7470577031663599,0.7506347610456277,1199,"{'linear': -1.1726905616626582, 'histgb': 0.695820618214123, 'random_forest': 2.9907797233579134, 'svm_rbf': 2.1276753122995165, 'lightgbm': 0.44452854060072655, 'xgboost': -0.4805326830193778}",-1.8507812395595056
standalone_positive_union,roi_gt_2,classification,f1,0.7736670293797606,0.7352587244283996,1199,"{'linear': -1.1726905616626582, 'histgb': 0.695820618214123, 'random_forest': 2.9907797233579134, 'svm_rbf': 2.1276753122995165, 'lightgbm': 0.44452854060072655, 'xgboost': -0.4805326830193778}",-1.8507812395595056
standalone_positive_union,roi_gt_2,classification,log_loss,0.627694176364856,0.6506858851321015,1199,"{'linear': -1.1726905616626582, 'histgb': 0.695820618214123, 'random_forest': 2.9907797233579134, 'svm_rbf': 2.1276753122995165, 'lightgbm': 0.44452854060072655, 'xgboost': -0.4805326830193778}",-1.8507812395595056
all_five_mpnet,log_roi,regression,mse,1.7305663614991975,1.720911734616182,1199,"{'linear': -0.09591809440720436, 'histgb': -0.000146774144293446, 'random_forest': 0.7741838199375677, 'svm_rbf': 1.617941389605109, 'lightgbm': 0.15168072564786414, 'xgboost': -0.004448288578839194}",-1.0171165310076287
all_five_mpnet,log_roi,regression,rmse,1.31550992451566,1.3118352543731175,1199,"{'linear': -0.09591809440720436, 'histgb': -0.000146774144293446, 'random_forest': 0.7741838199375677, 'svm_rbf': 1.617941389605109, 'lightgbm': 0.15168072564786414, 'xgboost': -0.004448288578839194}",-1.0171165310076287
