2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, regression): mse=1.9592, rmse=1.3997, mae=1.0172, cvrmse=1.0290
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, regression): mse=1.8237, rmse=1.3504, mae=1.0020, cvrmse=1.0006
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, regression): mse=1.8151, rmse=1.3473, mae=1.0078, cvrmse=1.0742
2026-05-04 14:53:30 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=linear target=log_roi OOF=cvrmse=1.0102, mae=0.9892, mse=1.8235, rmse=1.3504 inner_best_params={'model__alpha': np.float64(1000.0)}
2026-05-04 14:53:30 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=linear target=roi_gt_1 task=classification
2026-05-04 14:53:30 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1460, 92)
2026-05-04 14:53:30 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5892 params={'model__C': np.float64(0.001)}
2026-05-04 14:53:30 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5956, pr_auc=0.8444, log_loss=0.6754, f1=0.6734
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5830, pr_auc=0.8413, log_loss=0.6746, f1=0.6786
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.6001, pr_auc=0.8591, log_loss=0.6815, f1=0.6735
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6200, pr_auc=0.8518, log_loss=0.6678, f1=0.7404
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5475, pr_auc=0.8208, log_loss=0.6931, f1=0.6277
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.5445, pr_auc=0.8162, log_loss=0.6818, f1=0.6768
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.5739, pr_auc=0.8445, log_loss=0.6784, f1=0.6684
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.5760, pr_auc=0.8393, log_loss=0.6796, f1=0.7097
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.6629, pr_auc=0.8878, log_loss=0.6757, f1=0.6755
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.5744, pr_auc=0.8309, log_loss=0.6765, f1=0.7157
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5767, pr_auc=0.8427, log_loss=0.6848, f1=0.6347
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5907, pr_auc=0.8464, log_loss=0.6804, f1=0.6904
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6201, pr_auc=0.8590, log_loss=0.6695, f1=0.7068
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.5914, pr_auc=0.8442, log_loss=0.6709, f1=0.7157
2026-05-04 14:53:30 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5394, pr_auc=0.8219, log_loss=0.6838, f1=0.6530
2026-05-04 14:53:32 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=linear target=roi_gt_1 OOF=auc_roc=0.5875, f1=0.6806, log_loss=0.6779, pr_auc=0.8420 inner_best_params={'model__C': np.float64(0.001)}
